存货编码,商品名称,规格,型号/级别,品牌,单位,skuid,goodsid,起订量,商品类型,是否四氯化碳,分类类型,成品参考交期,牌价,仓库ID,仓库名称
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,222416,221621,1,4,0,2,7,12.2,29,平台仓
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,222416,221621,1,4,0,2,7,12.2,1370,中基仓(上海仓)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,222416,221621,1,4,0,2,7,12.2,57,股份成品仓（厂标)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,222416,221621,1,4,0,2,7,12.2,79,佛山西陇成品(固)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,222416,221621,1,4,0,2,7,12.2,85,四川小成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,222416,221621,1,4,0,2,7,12.2,48,股份佛山成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,226511,223668,1,4,0,2,7,12.2,30,平台仓
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,226511,223668,1,4,0,2,7,12.2,1370,中基仓(上海仓)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,226511,223668,1,4,0,2,7,12.2,57,股份成品仓（厂标)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,226511,223668,1,4,0,2,7,12.2,79,佛山西陇成品(固)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,226511,223668,1,4,0,2,7,12.2,85,四川小成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,226511,223668,1,4,0,2,7,12.2,48,股份佛山成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,230606,225715,1,4,0,2,7,12.2,28,平台仓
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,230606,225715,1,4,0,2,7,12.2,1370,中基仓(上海仓)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,230606,225715,1,4,0,2,7,12.2,57,股份成品仓（厂标)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,230606,225715,1,4,0,2,7,12.2,79,佛山西陇成品(固)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,230606,225715,1,4,0,2,7,12.2,85,四川小成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,230606,225715,1,4,0,2,7,12.2,48,股份佛山成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,234701,227762,1,4,0,2,7,12.2,77,平台仓
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,234701,227762,1,4,0,2,7,12.2,1370,中基仓(上海仓)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,234701,227762,1,4,0,2,7,12.2,57,股份成品仓（厂标)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,234701,227762,1,4,0,2,7,12.2,79,佛山西陇成品(固)
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,234701,227762,1,4,0,2,7,12.2,85,四川小成品（固）
1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,234701,227762,1,4,0,2,7,12.2,48,股份佛山成品（固）
1010310201700,氢氧化钠,CP500g/瓶,,西化,瓶,514361,508025,1,4,0,2,0,8.54,17,平台佛山仓
1010310201700,氢氧化钠,CP500g/瓶,,西化,瓶,514361,508025,1,4,0,2,0,8.54,1370,中基仓(上海仓)
1010310201700,氢氧化钠,CP500g/瓶,,西化,瓶,514361,508025,1,4,0,2,0,8.54,57,股份成品仓（厂标)
1010310201700,氢氧化钠,CP500g/瓶,,西化,瓶,514361,508025,1,4,0,2,0,8.54,79,佛山西陇成品(固)
1010310201700,氢氧化钠,CP500g/瓶,,西化,瓶,514361,508025,1,4,0,2,0,8.54,85,四川小成品（固）
