客户物料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,西陇物料,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
客户名称,客户id,客户物料编码,商品名称,规格,型号/等级,品牌,单位,西陇存货编码,商品名称,规格,型号/等级,品牌,单位,skuId,备注
广东华润顺峰药业有限公司,,,氢氧化钠,"化学纯 20瓶/箱
500g/瓶",化学纯,,瓶,1010310201700,氢氧化钠,CP500g/瓶,CP,西化,瓶,,
广州融捷显示科技有限公司,,R020007005,甲苯,西陇，AR级，纯度：≥99.5%，170KG/桶（易制毒）,AR级,西陇,桶,1430020107700,甲苯,AR170kg/桶,AR,西化,KG,,
广州融捷显示科技有限公司,,R020001008,无水乙醇,"西陇，AR级，纯度：
≥99.7%，160KG/桶",AR级,西陇,桶,1280340108200,乙醇(无水乙醇),AR160kg/桶,AR,西化,KG,,
太禾精细化工（惠州）有限公司,,,一水合柠檬酸,CP/25KG,CP,,KG,1270610204201,一水合柠檬酸（柠檬酸）,CP25kg/袋,CP,西化,KG,,
太禾精细化工（惠州）有限公司,,,硫酸氢钠,CP,CP,,KG,1010400204202,一水合硫酸氢钠（硫酸氢钠）,CP25kg/袋,CP,西化,KG,,
太禾精细化工（惠州）有限公司,,,氯化铰,CP/25KG,CP,,KG,1010110204201,氯化铰,CP25kg/袋,CP,西化,KG,,
太禾精细化工（惠州）有限公司,,,柠檬酸三钠,CP/25KG,CP,,KG,1010950204202,二水合柠檬酸三钠(柠檬酸三钠),CP25kg/桶,CP,西化,KG,,
广州增城淼森生物技术有限公司,,11700004,工业无水磷酸二氢钠（品牌：中鑫蜀龙）,,,中鑫蜀龙,千克,2010820304201,无水磷酸二氢钠,25KG/包,工业级,中鑫蜀龙,KG,,
广州增城淼森生物技术有限公司,,11400057,"一水柠檬酸
（品牌：山东英轩）",,,山东英轩,千克,2270610704205,柠檬酸,25KG/包(一水),食品级,英轩,KG,,
广州增城淼森生物技术有限公司,,11700003,"工业氢氧化钠
（品牌：山东滨化）",,,山东滨化,千克,2010310304214,氢氧化钠,"25KG/包(珠,中文)",工业级,滨化,KG,,
广州市品萃化工科技有限公司,,,石油醚30-60,AR500克,AR,,,1320040101600M,石油醚(30~60),AR500ml/瓶,AR,西化,瓶,,
深圳市贝加电子材料有限公司,,,碘化钠,,,,瓶,1010160101700,二水合碘化钠,AR500g/瓶,AR,西化,瓶,,
黄石信博科技有限公司,,000000000104990090,硅酸,25KG/桶,AR级,,KG,1270180104202,硅酸,AR25kg/桶,AR,西化,KG,,
广东越海集成技术有限公司,,1010201060016,无水碳酸钠,粉末+分析纯99.8%+500g/瓶,分析纯,,瓶,1010470101700,无水碳酸钠,AR500g/瓶,AR,西化,瓶,,
广东越海集成技术有限公司,,1055104080067,过硫酸钠,AR级+500g/瓶+固体粉末,AR级,,克,1010730101700,过硫酸钠,AR500g/瓶,AR,西化,瓶,,
东莞广通事务机有限公司,,,無水乙醇,>=99.7% AR500ML/瓶,AR,,BT,1280340101601,乙醇(无水乙醇),AR500ml/玻瓶,AR,西化,瓶,,
海南火山岩矿泉水有限公司,,05990064,SY1（双氧水）,1*25kg,,,kg,1560010704201,35%过氧化氢,FA25kg/桶,FA,西化,KG,,
海南火山岩矿泉水有限公司,,05990003,XS1（硝酸）,2.5L,,,瓶,1270190204702,硝酸,CP2500ml/塑瓶,CP,西化,瓶,,
杭州中美华东制药江东有限公司,,,硫酸铵(利拉鲁肽用),,,,kg,1260090104202,硫酸铵,AR25kg/桶,AR,西化,KG,,
深圳市博莱恩科技有限公司,,SJ.1.02.1236,氯化钠,AR25kg/桶，西陇，7647-14-5,AR,西陇,公斤,1010110104202,氯化钠,AR25kg/桶,AR,西化,KG,,
深圳市博莱恩科技有限公司,,SJ.1.02.1619,磷酸氢二钠，十二水,AR25kg/桶，西陇，10039-32-4,AR,西陇,公斤,1010590104202,十二水合磷酸氢二钠（磷酸氢二钠）,AR25kg/桶,AR,西化,KG,,
苏州锐杰微科技集团有限公司,,20403000001XLK,酒精,酒精无水乙醇/2kg桶/99.7%,,,千克,1280340104702,乙醇(无水乙醇),AR2500ml/塑瓶,AR,西化,瓶,,
浙江卫星新材料科技有限公司,,,卫星科技辅料\S2600,,,,千克,1160090101700,七水合硫酸亚铁（硫酸亚铁）,AR500g/瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100135,酸类 甲酸,25KG/桶,CP扱,,千克,1270060204200,甲酸,CP25kg/桶,CP,西化,KG,,
无锡深南电路有限公司,,109100573,酸类 硼酸,25KG/桶,CP级,,千克,1270400204202,硼酸,CP25kg/桶,CP,西化,KG,,
无锡深南电路有限公司,,109100133,沉铜药水 甲醛溶液,20L/桶,(AR),,升,1340040106000,甲醛溶液,AR20L/桶,AR,西化,升,,
无锡深南电路有限公司,,109100063,碱类 氨水,2.5L/瓶,AR级,,升,1260180104700,氨水,AR2500ml/瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100066,表面抗氧化 冰醋酸,2.5L/瓶,AR级,,升,1270570104702,乙酸（冰醋酸）,AR2500ml/塑瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100286,试剂类 异丙醇,2.5L/瓶,AR级,,升,1280250104702,异丙醇,AR2500ml/塑瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100212,酸类 18%盐酸,2.5L/瓶,CP级,,升,1270110224000,18%盐酸,CP2.5L/瓶,CP,西化,瓶,,
无锡深南电路有限公司,,109100134,酸类 甲酸,500ML/瓶,AR级,,升,1270060101602,甲酸,AR500ml/塑瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100146,酸类 硫酸,500ML/瓶,AR级,,升,1270320101600,硫酸,AR500ml/玻瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100061,化金药水 氨基磺酸,100G/瓶,AR级,,克,1270830110201,氨基磺酸,AR100g/瓶M,AR,西化,瓶,,
无锡深南电路有限公司,,109100280,试剂类 无水乙醇,500ML/瓶,AR级,,支,1280340101602,乙醇(无水乙醇),AR500ml/塑瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100271,试剂类 氢氧化钠,500G/瓶,AR级,,支,1010310101700,氢氧化钠,AR500g/瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100283,试剂类 硝酸,500ML/瓶,AR级,,支,1270190101601,硝酸,AR500ml/玻瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100256,试剂类 磷酸,500ML/瓶,AR级,,支,1270410101602,磷酸,AR500ml/塑瓶,AR,西化,瓶,,
无锡深南电路有限公司,,109100386,试剂类 草酸,500G/瓶,CP级,,瓶,1270090201700,二水合草酸（草酸）,CP500g/瓶,CP,西化,瓶,,
无锡深南电路有限公司,,109100091,氧化类 高锰酸钾,25KG/桶 开缸用,AR级,,千克,1020270101400,高锰酸钾,AR25kg/桶,AR,西化,KG,,
无锡深南电路有限公司,,109100158,化金药水 一水合柠檬酸,500G/瓶,CP级,,千克,1270610201700,一水合柠檬酸（柠檬酸）,CP500g/瓶,CP,西化,瓶,,
TCL华星光电技术有限公司,,72S05060000015,"ALCOHOL,乙醇,95%",25L/桶,AR,,L,1280010104100,乙醇(95%),AR25L/桶,AR,西化,升,,
艾感科技(广东)有限公司,,,无水乙醇,,,,KG,1280340106100,乙醇(无水乙醇),AR20kg/桶,AR,西化,KG,,
巴斯夫（上海）涂料制造有限公司,,50969453,JEFFCAT DMAE 180KG 1A1,,,,KG,2250570307500,"N,N-二甲基乙醇胺",180KG/桶,工业级,扬子石化－巴斯夫,KG,,精细，202505080000915_01
巴斯夫化工有限公司,,,进口陶瓷坩埚，FB965E 30ML,,,,PC,6041601592001,陶瓷坩埚,FB965E 30ml,,其他,个,,
巴斯夫化工有限公司,,,耐高温退火杯，C64020004高*外径 44mm*41mm,,,,PC,6040101803707,退火杯,"""C64020004 高*外径 44mm*41mm""",,其他,个,,
巴斯夫化工有限公司,,,高纯石英坩埚 100ML,,,,PC,6041601592002,高纯石英坩埚,100ml,,其他,个,,
巴斯夫化工有限公司,,,高纯氧化铝坩埚，100ML,,,,PC,6041601592003,高纯氧化铝坩埚,100ml,,其他,个,,
潮州三环（集团）股份有限公司,,,乙二胺四乙酸二钠,1000g/袋,AR,,袋,1010680110600,乙二胺四乙酸二钠,AR1000g/包,AR,西化,包,,
